model,ticker,horizon,pi_lower_offset,pi_upper_offset,empirical_coverage_90pct
ARIMAX,HDFCBANK.NS,1,-0.058679,0.068748,0.8571
VARX,HDFCBANK.NS,1,-0.047292,0.067127,0.8571
ARIMAX,HDFCBANK.NS,3,-0.058809,0.071104,0.8462
VARX,HDFCBANK.NS,3,-0.046001,0.088098,0.8462
ARIMAX,HDFCBANK.NS,6,-0.063117,0.068632,0.8261
VARX,HDFCBANK.NS,6,-0.051411,0.078135,0.8261
ARIMAX,HDFCBANK.NS,12,-0.075899,0.055612,0.8824
VARX,HDFCBANK.NS,12,-0.078968,0.086245,0.8824
ARIMAX,BHARTIARTL.NS,1,-0.083385,0.083027,0.8571
VARX,BHARTIARTL.NS,1,-0.085247,0.100259,0.8571
ARIMAX,BHARTIARTL.NS,3,-0.08933,0.071812,0.8462
VARX,BHARTIARTL.NS,3,-0.089253,0.083508,0.8462
ARIMAX,BHARTIARTL.NS,6,-0.099553,0.045174,0.8261
VARX,BHARTIARTL.NS,6,-0.095666,0.042675,0.8261
ARIMAX,BHARTIARTL.NS,12,-0.090142,0.059858,0.8824
VARX,BHARTIARTL.NS,12,-0.091719,0.060028,0.8824
ARIMAX,APOLLOHOSP.NS,1,-0.148933,0.09895,0.8571
VARX,APOLLOHOSP.NS,1,-0.12965,0.065061,0.8571
ARIMAX,APOLLOHOSP.NS,3,-0.124372,0.091402,0.8462
VARX,APOLLOHOSP.NS,3,-0.126001,0.054341,0.8462
ARIMAX,APOLLOHOSP.NS,6,-0.159473,0.075943,0.8261
VARX,APOLLOHOSP.NS,6,-0.093168,0.052352,0.8261
ARIMAX,APOLLOHOSP.NS,12,-0.129112,0.120134,0.8824
VARX,APOLLOHOSP.NS,12,-0.11754,0.085209,0.8824
ARIMAX,BIOCON.NS,1,-0.162908,0.14991,0.8571
VARX,BIOCON.NS,1,-0.153805,0.173152,0.8571
ARIMAX,BIOCON.NS,3,-0.200346,0.125446,0.8462
VARX,BIOCON.NS,3,-0.103043,0.156048,0.8462
ARIMAX,BIOCON.NS,6,-0.209443,0.098403,0.8261
VARX,BIOCON.NS,6,-0.101345,0.156441,0.8261
ARIMAX,BIOCON.NS,12,-0.173298,0.114179,0.8824
VARX,BIOCON.NS,12,-0.144826,0.166101,0.8824
ARIMAX,JSWENERGY.NS,1,-0.109382,0.309527,0.8571
VARX,JSWENERGY.NS,1,-0.106684,0.165907,0.8571
ARIMAX,JSWENERGY.NS,3,-0.13919,0.314877,0.8462
VARX,JSWENERGY.NS,3,-0.133125,0.169823,0.8462
ARIMAX,JSWENERGY.NS,6,-0.140724,0.2496,0.8261
VARX,JSWENERGY.NS,6,-0.133737,0.167513,0.8261
ARIMAX,JSWENERGY.NS,12,-0.161736,0.338641,0.8824
VARX,JSWENERGY.NS,12,-0.154047,0.177097,0.8824
ARIMAX,SUDARSCHEM.NS,1,-0.214577,0.333389,0.8571
VARX,SUDARSCHEM.NS,1,-0.161664,0.172754,0.8571
ARIMAX,SUDARSCHEM.NS,3,-0.205048,0.31123,0.8462
VARX,SUDARSCHEM.NS,3,-0.173015,0.143799,0.8462
ARIMAX,SUDARSCHEM.NS,6,-0.154316,0.149907,0.8261
VARX,SUDARSCHEM.NS,6,-0.173164,0.116981,0.8261
ARIMAX,SUDARSCHEM.NS,12,-0.136667,0.254791,0.8824
VARX,SUDARSCHEM.NS,12,-0.169356,0.148401,0.8824
ARIMAX,AEGISLOG.NS,1,-0.139616,0.321492,0.8571
VARX,AEGISLOG.NS,1,-0.164913,0.373364,0.8571
ARIMAX,AEGISLOG.NS,3,-0.132823,0.235989,0.8462
VARX,AEGISLOG.NS,3,-0.164004,0.184666,0.8462
