ticker,shares,latest_price,current_value,weight
HDFCBANK.NS,26,774.6500244140625,20140.900634765625,0.02
BHARTIARTL.NS,34,1901.5999755859375,64654.399169921875,0.06465
APOLLOHOSP.NS,24,8487.5,203700.0,0.2
BIOCON.NS,47,423.20001220703125,19890.40057373047,0.02
JSWENERGY.NS,159,568.9000244140625,90455.10388183594,0.09066
SUDARSCHEM.NS,22,881.8499755859375,19400.699462890625,0.02
AEGISLOG.NS,19,1055.699951171875,20058.299072265625,0.02
KPRMILL.NS,17,1131.1500244140625,19229.550415039062,0.02
GREENLAM.NS,77,257.69000244140625,19842.13018798828,0.02
CAMLINFINE.NS,143,138.39999389648438,19791.199127197266,0.02
SURYAROSNI.NS,76,260.2900085449219,19782.040649414062,0.02
EIDPARRY.NS,28,710.2999877929688,19888.399658203125,0.02
BANDHANBNK.NS,96,207.1199951171875,19883.51953125,0.02
ABREL.NS,15,1299.5999755859375,19493.999633789062,0.02
INDIGO.NS,4,4961.39990234375,19845.599609375,0.02
MARATHON.NS,50,401.1000061035156,20055.00030517578,0.02
LTTS.NS,49,3324.39990234375,162895.59521484375,0.1647
ASTERDM.NS,26,765.8499755859375,19912.099365234375,0.02
BSE.NS,51,3941.800048828125,201031.80249023438,0.2
