model,ticker,horizon,mean_forecast,mean_ci90_lower,mean_ci90_upper,mean_ci90_width,mean_ci95_lower,mean_ci95_upper,mean_ci95_width
ARIMAX,ABREL.NS,1,-0.07335,-0.19011,0.0434,0.23351,-0.21248,0.06577,0.27825
ARIMAX,ABREL.NS,3,-0.04241,-0.19079,0.10596,0.29675,-0.21921,0.13438,0.3536
ARIMAX,ABREL.NS,6,-0.01646,-0.16748,0.13456,0.30204,-0.19641,0.16349,0.3599
ARIMAX,ABREL.NS,12,0.0448,-0.11204,0.20165,0.31369,-0.14209,0.2317,0.37379
ARIMAX,AEGISLOG.NS,1,-0.02687,-0.16107,0.10732,0.26839,-0.18677,0.13303,0.31981
ARIMAX,AEGISLOG.NS,3,-0.02738,-0.16163,0.10687,0.2685,-0.18735,0.13259,0.31993
ARIMAX,AEGISLOG.NS,6,-0.02659,-0.16091,0.10773,0.26864,-0.18664,0.13347,0.3201
ARIMAX,AEGISLOG.NS,12,-0.01414,-0.14838,0.1201,0.26848,-0.1741,0.14581,0.31991
ARIMAX,APOLLOHOSP.NS,1,0.02458,-0.04802,0.09719,0.14521,-0.06193,0.1111,0.17303
ARIMAX,APOLLOHOSP.NS,3,0.02786,-0.04501,0.10073,0.14574,-0.05897,0.11469,0.17366
ARIMAX,APOLLOHOSP.NS,6,0.03233,-0.04098,0.10564,0.14662,-0.05503,0.11968,0.17471
ARIMAX,APOLLOHOSP.NS,12,0.04124,-0.03313,0.11562,0.14875,-0.04738,0.12986,0.17725
ARIMAX,ASTERDM.NS,1,0.00695,-0.11794,0.13184,0.24978,-0.14187,0.15576,0.29763
ARIMAX,ASTERDM.NS,3,0.00572,-0.11911,0.13056,0.24966,-0.14302,0.15447,0.29749
ARIMAX,ASTERDM.NS,6,0.00255,-0.12212,0.12722,0.24934,-0.14601,0.1511,0.29711
ARIMAX,ASTERDM.NS,12,-0.00792,-0.132,0.11616,0.24815,-0.15577,0.13993,0.29569
ARIMAX,BANDHANBNK.NS,1,-0.01559,-0.15596,0.12478,0.28074,-0.18285,0.15167,0.33452
ARIMAX,BANDHANBNK.NS,3,-0.01597,-0.15668,0.12474,0.28141,-0.18363,0.15169,0.33532
ARIMAX,BANDHANBNK.NS,6,-0.01713,-0.15833,0.12406,0.28239,-0.18538,0.15111,0.33649
ARIMAX,BANDHANBNK.NS,12,-0.02049,-0.16244,0.12146,0.2839,-0.18964,0.14865,0.33829
ARIMAX,BHARTIARTL.NS,1,0.01755,-0.04957,0.08468,0.13424,-0.06243,0.09754,0.15996
ARIMAX,BHARTIARTL.NS,3,0.02497,-0.05769,0.10764,0.16533,-0.07353,0.12347,0.197
ARIMAX,BHARTIARTL.NS,6,0.02831,-0.05524,0.11186,0.1671,-0.07125,0.12786,0.19911
ARIMAX,BHARTIARTL.NS,12,0.03297,-0.0525,0.11845,0.17095,-0.06888,0.13482,0.2037
ARIMAX,BIOCON.NS,1,0.0289,-0.01715,0.07494,0.09209,-0.02597,0.08377,0.10974
ARIMAX,BIOCON.NS,3,0.03474,-0.01392,0.08341,0.09733,-0.02325,0.09273,0.11598
ARIMAX,BIOCON.NS,6,0.03961,-0.00903,0.08824,0.09727,-0.01834,0.09756,0.1159
ARIMAX,BIOCON.NS,12,0.03223,-0.0162,0.08066,0.09686,-0.02548,0.08993,0.11541
ARIMAX,BSE.NS,1,0.09053,-0.06904,0.25011,0.31916,-0.09962,0.28068,0.3803
ARIMAX,BSE.NS,3,0.09797,-0.06099,0.25692,0.31791,-0.09144,0.28737,0.37881
ARIMAX,BSE.NS,6,0.10754,-0.05042,0.26551,0.31592,-0.08068,0.29577,0.37645
ARIMAX,BSE.NS,12,0.11448,-0.04166,0.27062,0.31228,-0.07157,0.30053,0.3721
ARIMAX,CAMLINFINE.NS,1,-0.01461,-0.098,0.06877,0.16677,-0.11397,0.08475,0.19872
ARIMAX,CAMLINFINE.NS,3,-0.01301,-0.09615,0.07013,0.16628,-0.11208,0.08606,0.19814
ARIMAX,CAMLINFINE.NS,6,-0.00648,-0.08918,0.07622,0.1654,-0.10502,0.09207,0.19709
ARIMAX,CAMLINFINE.NS,12,0.02859,-0.05304,0.11023,0.16326,-0.06868,0.12587,0.19454
ARIMAX,EIDPARRY.NS,1,0.00995,-0.12541,0.14531,0.27072,-0.15134,0.17124,0.32258
ARIMAX,EIDPARRY.NS,3,0.0109,-0.12424,0.14603,0.27027,-0.15013,0.17192,0.32205
ARIMAX,EIDPARRY.NS,6,0.01247,-0.12225,0.14718,0.26944,-0.14806,0.17299,0.32105
ARIMAX,EIDPARRY.NS,12,0.01539,-0.11838,0.14916,0.26755,-0.14401,0.17479,0.3188
ARIMAX,GREENLAM.NS,1,-0.01394,-0.09332,0.06544,0.15876,-0.10853,0.08065,0.18917
ARIMAX,GREENLAM.NS,3,-0.01372,-0.09278,0.06534,0.15812,-0.10793,0.08048,0.18841
ARIMAX,GREENLAM.NS,6,-0.01374,-0.09218,0.0647,0.15687,-0.10721,0.07972,0.18693
ARIMAX,GREENLAM.NS,12,-0.01482,-0.09155,0.06191,0.15346,-0.10625,0.07661,0.18286
ARIMAX,HDFCBANK.NS,1,-0.00426,-0.07928,0.07076,0.15004,-0.09366,0.08513,0.17878
ARIMAX,HDFCBANK.NS,3,-0.00441,-0.07956,0.07074,0.1503,-0.09396,0.08514,0.1791
ARIMAX,HDFCBANK.NS,6,-0.00455,-0.07996,0.07086,0.15082,-0.09441,0.0853,0.17971
ARIMAX,HDFCBANK.NS,12,-0.00452,-0.08075,0.07171,0.15246,-0.09535,0.08632,0.18167
ARIMAX,INDIGO.NS,1,0.01437,-0.09959,0.12832,0.22792,-0.12142,0.15015,0.27158
ARIMAX,INDIGO.NS,3,0.01404,-0.09952,0.12759,0.22711,-0.12127,0.14935,0.27062
ARIMAX,INDIGO.NS,6,0.01419,-0.09898,0.12736,0.22634,-0.12066,0.14905,0.2697
ARIMAX,INDIGO.NS,12,0.01894,-0.09491,0.13279,0.22771,-0.11672,0.15461,0.27133
ARIMAX,JSWENERGY.NS,1,-0.03977,-0.19991,0.12037,0.32028,-0.23059,0.15105,0.38163
ARIMAX,JSWENERGY.NS,3,-0.04813,-0.2087,0.11245,0.32114,-0.23946,0.14321,0.38267
ARIMAX,JSWENERGY.NS,6,-0.05795,-0.21923,0.10333,0.32256,-0.25012,0.13423,0.38435
ARIMAX,JSWENERGY.NS,12,-0.04678,-0.20965,0.11609,0.32574,-0.24085,0.14729,0.38814
ARIMAX,KPRMILL.NS,1,-0.00241,-0.07913,0.07432,0.15345,-0.09383,0.08901,0.18284
ARIMAX,KPRMILL.NS,3,-0.01499,-0.10767,0.07769,0.18536,-0.12543,0.09545,0.22088
ARIMAX,KPRMILL.NS,6,-0.01232,-0.10543,0.08079,0.18622,-0.12326,0.09863,0.22189
ARIMAX,KPRMILL.NS,12,-0.00993,-0.10547,0.08561,0.19108,-0.12378,0.10391,0.22769
ARIMAX,LTTS.NS,1,0.00681,-0.0779,0.09153,0.16943,-0.09413,0.10776,0.20189
ARIMAX,LTTS.NS,3,0.02006,-0.06475,0.10486,0.16961,-0.081,0.12111,0.20211
ARIMAX,LTTS.NS,6,0.03707,-0.04781,0.12195,0.16976,-0.06407,0.13821,0.20228
ARIMAX,LTTS.NS,12,0.04708,-0.0375,0.13167,0.16917,-0.0537,0.14787,0.20157
ARIMAX,MARATHON.NS,1,-0.00258,-0.22819,0.22304,0.45123,-0.27141,0.26626,0.53767
ARIMAX,MARATHON.NS,3,0.00265,-0.22359,0.22889,0.45249,-0.26694,0.27224,0.53917
ARIMAX,MARATHON.NS,6,0.00707,-0.22002,0.23417,0.45418,-0.26352,0.27767,0.54119
ARIMAX,MARATHON.NS,12,-0.00566,-0.23383,0.22251,0.45634,-0.27754,0.26622,0.54377
ARIMAX,SUDARSCHEM.NS,1,-0.02299,-0.09375,0.04778,0.14153,-0.10731,0.06134,0.16865
ARIMAX,SUDARSCHEM.NS,3,-0.02508,-0.09582,0.04565,0.14147,-0.10937,0.0592,0.16857
ARIMAX,SUDARSCHEM.NS,6,-0.0328,-0.10349,0.0379,0.14139,-0.11703,0.05144,0.16848
ARIMAX,SUDARSCHEM.NS,12,-0.06046,-0.13113,0.01021,0.14134,-0.14467,0.02375,0.16842
ARIMAX,SURYAROSNI.NS,1,-0.04648,-0.17556,0.08259,0.25815,-0.20029,0.10732,0.3076
ARIMAX,SURYAROSNI.NS,3,-0.04409,-0.17334,0.08516,0.2585,-0.1981,0.10993,0.30802
ARIMAX,SURYAROSNI.NS,6,-0.04092,-0.17036,0.08853,0.25889,-0.19516,0.11333,0.30849
ARIMAX,SURYAROSNI.NS,12,-0.03844,-0.16771,0.09083,0.25853,-0.19247,0.11559,0.30806
VARX,ABREL.NS,1,-0.00258,-0.19004,0.18488,0.37492,-0.22595,0.22079,0.44674
VARX,ABREL.NS,3,0.0088,-0.18365,0.20125,0.3849,-0.22052,0.23812,0.45864
VARX,ABREL.NS,6,0.01156,-0.18085,0.20398,0.38483,-0.21771,0.24084,0.45855
VARX,ABREL.NS,12,0.01035,-0.18281,0.20351,0.38631,-0.21981,0.24051,0.46032
VARX,AEGISLOG.NS,1,0.0194,-0.12595,0.16475,0.2907,-0.1538,0.19259,0.34639
VARX,AEGISLOG.NS,3,0.01747,-0.14148,0.17641,0.31789,-0.17193,0.20686,0.37879
VARX,AEGISLOG.NS,6,0.01609,-0.14283,0.17501,0.31784,-0.17327,0.20546,0.37873
VARX,AEGISLOG.NS,12,0.02627,-0.13136,0.18389,0.31525,-0.16156,0.21409,0.37565
VARX,APOLLOHOSP.NS,1,0.02722,-0.10769,0.16212,0.26981,-0.13353,0.18797,0.3215
VARX,APOLLOHOSP.NS,3,0.02798,-0.11662,0.17257,0.28919,-0.14432,0.20027,0.34459
VARX,APOLLOHOSP.NS,6,0.02984,-0.11607,0.17574,0.2918,-0.14402,0.20369,0.3477
VARX,APOLLOHOSP.NS,12,0.02825,-0.12007,0.17657,0.29664,-0.14849,0.20498,0.35347
VARX,ASTERDM.NS,1,0.02322,-0.12837,0.17481,0.30318,-0.15741,0.20385,0.36126
VARX,ASTERDM.NS,3,0.03349,-0.12376,0.19074,0.31449,-0.15388,0.22086,0.37474
VARX,ASTERDM.NS,6,0.02904,-0.1287,0.18678,0.31548,-0.15892,0.217,0.37592
VARX,ASTERDM.NS,12,0.01415,-0.14392,0.17222,0.31614,-0.1742,0.20251,0.37671
VARX,BANDHANBNK.NS,1,-0.04408,-0.17807,0.08991,0.26798,-0.20374,0.11558,0.31932
VARX,BANDHANBNK.NS,3,-0.0452,-0.1802,0.08981,0.27,-0.20606,0.11567,0.32173
VARX,BANDHANBNK.NS,6,-0.04409,-0.18049,0.0923,0.27278,-0.20661,0.11843,0.32504
VARX,BANDHANBNK.NS,12,-0.0074,-0.14657,0.13177,0.27835,-0.17323,0.15844,0.33167
VARX,BHARTIARTL.NS,1,0.02255,-0.0771,0.1222,0.1993,-0.09619,0.14129,0.23748
VARX,BHARTIARTL.NS,3,0.02449,-0.07772,0.1267,0.20441,-0.0973,0.14628,0.24357
VARX,BHARTIARTL.NS,6,0.02567,-0.07741,0.12874,0.20615,-0.09715,0.14849,0.24564
VARX,BHARTIARTL.NS,12,0.02998,-0.07506,0.13502,0.21007,-0.09518,0.15514,0.25032
VARX,BIOCON.NS,1,-0.01152,-0.12401,0.10096,0.22497,-0.14556,0.12251,0.26807
VARX,BIOCON.NS,3,-0.0073,-0.12715,0.11255,0.23971,-0.15011,0.13552,0.28563
VARX,BIOCON.NS,6,-0.00381,-0.12428,0.11665,0.24093,-0.14735,0.13973,0.28708
VARX,BIOCON.NS,12,-0.008,-0.1298,0.11381,0.24361,-0.15314,0.13714,0.29028
VARX,BSE.NS,1,0.1051,-0.06311,0.2733,0.3364,-0.09533,0.30552,0.40085
VARX,BSE.NS,3,0.106,-0.06399,0.27599,0.33997,-0.09655,0.30855,0.4051
VARX,BSE.NS,6,0.11128,-0.05844,0.28101,0.33946,-0.09096,0.31353,0.40449
VARX,BSE.NS,12,0.10979,-0.0598,0.27937,0.33917,-0.09229,0.31186,0.40415
VARX,CAMLINFINE.NS,1,0.06067,-0.13303,0.25436,0.38739,-0.17013,0.29147,0.4616
VARX,CAMLINFINE.NS,3,0.0437,-0.15867,0.24607,0.40474,-0.19744,0.28484,0.48228
VARX,CAMLINFINE.NS,6,0.04468,-0.1556,0.24496,0.40056,-0.19396,0.28333,0.47729
VARX,CAMLINFINE.NS,12,0.04129,-0.15436,0.23695,0.39131,-0.19184,0.27443,0.46628
VARX,EIDPARRY.NS,1,0.02771,-0.11693,0.17235,0.28928,-0.14464,0.20006,0.3447
VARX,EIDPARRY.NS,3,0.03655,-0.10897,0.18207,0.29104,-0.13685,0.20994,0.34679
VARX,EIDPARRY.NS,6,0.04893,-0.09732,0.19517,0.29249,-0.12534,0.22319,0.34852
VARX,EIDPARRY.NS,12,0.05666,-0.09085,0.20418,0.29503,-0.11911,0.23244,0.35155
VARX,GREENLAM.NS,1,0.02017,-0.12312,0.16346,0.28658,-0.15057,0.19091,0.34148
VARX,GREENLAM.NS,3,0.02012,-0.12628,0.16653,0.29281,-0.15433,0.19458,0.3489
VARX,GREENLAM.NS,6,0.01793,-0.12758,0.16343,0.29102,-0.15546,0.19131,0.34677
VARX,GREENLAM.NS,12,0.00397,-0.13834,0.14628,0.28462,-0.1656,0.17355,0.33915
VARX,HDFCBANK.NS,1,-0.01802,-0.10002,0.06397,0.16399,-0.11573,0.07968,0.19541
VARX,HDFCBANK.NS,3,-0.01801,-0.10332,0.0673,0.17062,-0.11966,0.08364,0.2033
VARX,HDFCBANK.NS,6,-0.01994,-0.10567,0.06579,0.17147,-0.12209,0.08222,0.20431
VARX,HDFCBANK.NS,12,-0.01967,-0.1066,0.06727,0.17387,-0.12326,0.08392,0.20718
VARX,INDIGO.NS,1,0.00977,-0.11088,0.13043,0.24131,-0.134,0.15354,0.28754
VARX,INDIGO.NS,3,0.01549,-0.11214,0.14312,0.25526,-0.13659,0.16757,0.30416
VARX,INDIGO.NS,6,0.01622,-0.11137,0.14382,0.25519,-0.13582,0.16826,0.30408
VARX,INDIGO.NS,12,0.02018,-0.10886,0.14922,0.25808,-0.13358,0.17395,0.30753
VARX,JSWENERGY.NS,1,-0.002,-0.1476,0.14359,0.29119,-0.17549,0.17149,0.34697
VARX,JSWENERGY.NS,3,-0.00433,-0.15166,0.143,0.29467,-0.17989,0.17123,0.35112
