ticker,horizon,model,pw_weight
HDFCBANK.NS,1,ARIMAX,0.5359
HDFCBANK.NS,1,VARX,0.4641
HDFCBANK.NS,3,ARIMAX,0.5171
HDFCBANK.NS,3,VARX,0.4829
HDFCBANK.NS,6,ARIMAX,0.5045
HDFCBANK.NS,6,VARX,0.4955
HDFCBANK.NS,12,ARIMAX,0.5331
HDFCBANK.NS,12,VARX,0.4669
BHARTIARTL.NS,1,ARIMAX,0.5155
BHARTIARTL.NS,1,VARX,0.4845
BHARTIARTL.NS,3,ARIMAX,0.5028
BHARTIARTL.NS,3,VARX,0.4972
BHARTIARTL.NS,6,ARIMAX,0.5057
BHARTIARTL.NS,6,VARX,0.4943
BHARTIARTL.NS,12,ARIMAX,0.4899
BHARTIARTL.NS,12,VARX,0.5101
APOLLOHOSP.NS,1,ARIMAX,0.4551
APOLLOHOSP.NS,1,VARX,0.5449
APOLLOHOSP.NS,3,ARIMAX,0.4646
APOLLOHOSP.NS,3,VARX,0.5354
APOLLOHOSP.NS,6,ARIMAX,0.4406
APOLLOHOSP.NS,6,VARX,0.5594
APOLLOHOSP.NS,12,ARIMAX,0.4464
APOLLOHOSP.NS,12,VARX,0.5536
BIOCON.NS,1,ARIMAX,0.5315
BIOCON.NS,1,VARX,0.4685
BIOCON.NS,3,ARIMAX,0.4761
BIOCON.NS,3,VARX,0.5239
BIOCON.NS,6,ARIMAX,0.4718
BIOCON.NS,6,VARX,0.5282
BIOCON.NS,12,ARIMAX,0.4847
BIOCON.NS,12,VARX,0.5153
JSWENERGY.NS,1,ARIMAX,0.399
JSWENERGY.NS,1,VARX,0.601
JSWENERGY.NS,3,ARIMAX,0.3938
JSWENERGY.NS,3,VARX,0.6062
JSWENERGY.NS,6,ARIMAX,0.395
JSWENERGY.NS,6,VARX,0.605
JSWENERGY.NS,12,ARIMAX,0.38
JSWENERGY.NS,12,VARX,0.62
SUDARSCHEM.NS,1,ARIMAX,0.3737
SUDARSCHEM.NS,1,VARX,0.6263
SUDARSCHEM.NS,3,ARIMAX,0.3981
SUDARSCHEM.NS,3,VARX,0.6019
SUDARSCHEM.NS,6,ARIMAX,0.4554
SUDARSCHEM.NS,6,VARX,0.5446
SUDARSCHEM.NS,12,ARIMAX,0.4373
SUDARSCHEM.NS,12,VARX,0.5627
AEGISLOG.NS,1,ARIMAX,0.5014
AEGISLOG.NS,1,VARX,0.4986
AEGISLOG.NS,3,ARIMAX,0.4807
AEGISLOG.NS,3,VARX,0.5193
AEGISLOG.NS,6,ARIMAX,0.4752
AEGISLOG.NS,6,VARX,0.5248
AEGISLOG.NS,12,ARIMAX,0.4563
AEGISLOG.NS,12,VARX,0.5437
KPRMILL.NS,1,ARIMAX,0.4972
KPRMILL.NS,1,VARX,0.5028
KPRMILL.NS,3,ARIMAX,0.4861
