model,ticker,horizon,order_p,order_q,n_test,AIC,BIC,RMSE,MAE,ME,MAPE,SMAPE,DA,group
ARIMAX,HDFCBANK.NS,1,0,0.0,29,-169.61,-142.39,0.049457,0.038181,0.014053,289.405804,126.046783,0.586207,
ARIMAX,HDFCBANK.NS,3,0,0.0,27,-169.61,-142.39,0.060663,0.044381,0.013797,174.93975,127.757036,0.62963,
ARIMAX,HDFCBANK.NS,6,0,0.0,24,-169.61,-142.39,0.068026,0.044014,0.019812,129.907797,124.305684,0.625,
ARIMAX,HDFCBANK.NS,12,0,0.0,18,-169.61,-142.39,0.063023,0.047228,0.01885,404.614187,144.522901,0.611111,
ARIMAX,BHARTIARTL.NS,1,0,2.0,29,-184.56,-151.05,0.053329,0.042258,0.017788,140.976894,117.416343,0.655172,
ARIMAX,BHARTIARTL.NS,3,0,2.0,27,-184.56,-151.05,0.050546,0.042936,0.016391,264.495184,130.837353,0.592593,
ARIMAX,BHARTIARTL.NS,6,0,2.0,24,-184.56,-151.05,0.065461,0.056136,0.024692,296.188355,145.59735,0.5,
ARIMAX,BHARTIARTL.NS,12,0,2.0,18,-184.56,-151.05,0.069227,0.05755,0.031805,275.785859,143.162839,0.555556,
ARIMAX,APOLLOHOSP.NS,1,0,0.0,29,-171.1,-143.87,0.026062,0.019569,-1.3e-05,48.900833,65.283959,0.827586,
ARIMAX,APOLLOHOSP.NS,3,0,0.0,27,-171.1,-143.87,0.07599,0.063574,-0.002942,157.801604,154.909283,0.407407,
ARIMAX,APOLLOHOSP.NS,6,0,0.0,24,-171.1,-143.87,0.078966,0.069343,-0.006934,167.46603,169.717166,0.291667,
ARIMAX,APOLLOHOSP.NS,12,0,0.0,18,-171.1,-143.87,0.064906,0.047558,-0.000888,117.749478,111.717768,0.611111,
ARIMAX,BIOCON.NS,1,1,0.0,29,-229.88,-198.46,0.076069,0.041696,0.000561,368.434764,76.814426,0.862069,
ARIMAX,BIOCON.NS,3,1,0.0,27,-229.88,-198.46,0.121287,0.101425,-0.004705,1729.876226,152.192812,0.518519,
ARIMAX,BIOCON.NS,6,1,0.0,24,-229.88,-198.46,0.112446,0.094674,0.010859,556.456942,152.121325,0.541667,
ARIMAX,BIOCON.NS,12,1,0.0,18,-229.88,-198.46,0.09118,0.071655,0.020768,298.425543,120.754372,0.555556,
ARIMAX,JSWENERGY.NS,1,0,0.0,29,-78.71,-51.48,0.088006,0.069454,-0.005752,185.081314,118.672368,0.586207,
ARIMAX,JSWENERGY.NS,3,0,0.0,27,-78.71,-51.48,0.152449,0.112544,-0.004524,264.878824,155.322975,0.37037,
ARIMAX,JSWENERGY.NS,6,0,0.0,24,-78.71,-51.48,0.150274,0.114409,0.015899,237.056291,159.530173,0.375,
ARIMAX,JSWENERGY.NS,12,0,0.0,18,-78.71,-51.48,0.139907,0.110383,0.023803,339.128282,153.557543,0.5,
ARIMAX,SUDARSCHEM.NS,1,0,0.0,29,-180.48,-153.25,0.057169,0.049013,-0.018898,79.749039,77.941526,0.896552,
ARIMAX,SUDARSCHEM.NS,3,0,0.0,27,-180.48,-153.25,0.146022,0.115986,-0.019284,170.463363,121.101005,0.666667,
ARIMAX,SUDARSCHEM.NS,6,0,0.0,24,-180.48,-153.25,0.1812,0.149324,-0.002818,194.950691,165.47833,0.416667,
ARIMAX,SUDARSCHEM.NS,12,0,0.0,18,-180.48,-153.25,0.131301,0.108213,0.043729,141.584658,119.211842,0.666667,
ARIMAX,AEGISLOG.NS,1,0,0.0,29,-104.8,-75.48,0.097702,0.078482,0.014911,121.133701,125.421107,0.551724,
ARIMAX,AEGISLOG.NS,3,0,0.0,27,-104.8,-75.48,0.131008,0.099282,0.004518,135.516941,145.295892,0.481481,
ARIMAX,AEGISLOG.NS,6,0,0.0,24,-104.8,-75.48,0.138188,0.10544,0.032202,190.630179,152.237024,0.416667,
ARIMAX,AEGISLOG.NS,12,0,0.0,18,-104.8,-75.48,0.161171,0.123096,0.030373,199.213178,163.910902,0.388889,
ARIMAX,KPRMILL.NS,1,0,1.0,29,-168.64,-137.22,0.054014,0.04418,-0.001761,194.811092,95.46106,0.758621,
ARIMAX,KPRMILL.NS,3,0,1.0,27,-168.64,-137.22,0.114392,0.100525,-0.004249,739.947931,154.85005,0.444444,
ARIMAX,KPRMILL.NS,6,0,1.0,24,-168.64,-137.22,0.115264,0.092405,-0.000753,585.810958,146.680167,0.5,
ARIMAX,KPRMILL.NS,12,0,1.0,18,-168.64,-137.22,0.120549,0.091877,0.013836,209.317596,134.071365,0.444444,
ARIMAX,GREENLAM.NS,1,0,0.0,29,-170.66,-141.34,0.067208,0.050743,0.005451,166.38947,102.016116,0.793103,
ARIMAX,GREENLAM.NS,3,0,0.0,27,-170.66,-141.34,0.112305,0.093665,0.002597,294.481635,150.988813,0.481481,
ARIMAX,GREENLAM.NS,6,0,0.0,24,-170.66,-141.34,0.130137,0.10612,0.008706,491.470593,154.095083,0.541667,
ARIMAX,GREENLAM.NS,12,0,0.0,18,-170.66,-141.34,0.091826,0.073733,0.016082,709.51848,121.837255,0.722222,
ARIMAX,CAMLINFINE.NS,1,0,0.0,29,-164.71,-135.39,0.104859,0.066203,0.037331,143.840952,61.324119,0.931034,
ARIMAX,CAMLINFINE.NS,3,0,0.0,27,-164.71,-135.39,0.223749,0.19069,0.020522,682.55188,155.36692,0.444444,
