model,ticker,horizon,DA,IC,IC_pval,RMSE,MAE,n_obs
ARIMAX,HDFCBANK.NS,1,0.5,0.0909,0.6456,0.055589,0.042545,28
VARX,HDFCBANK.NS,1,0.3571,-0.1198,0.5437,0.064177,0.048954,28
ARIMAX,HDFCBANK.NS,3,0.5385,0.0429,0.8351,0.056742,0.042608,26
VARX,HDFCBANK.NS,3,0.3846,-0.0065,0.9748,0.060758,0.048782,26
ARIMAX,HDFCBANK.NS,6,0.4783,-0.1887,0.3886,0.057918,0.044606,23
VARX,HDFCBANK.NS,6,0.3913,0.061,0.7822,0.058982,0.047094,23
ARIMAX,HDFCBANK.NS,12,0.7647,0.2252,0.3848,0.059907,0.043215,17
VARX,HDFCBANK.NS,12,0.4118,-0.4091,0.103,0.068393,0.056454,17
ARIMAX,BHARTIARTL.NS,1,0.6071,0.0994,0.6149,0.053551,0.043184,28
VARX,BHARTIARTL.NS,1,0.6429,0.0023,0.9908,0.056969,0.045947,28
ARIMAX,BHARTIARTL.NS,3,0.6538,0.1285,0.5317,0.05324,0.043244,26
VARX,BHARTIARTL.NS,3,0.6538,0.1274,0.5351,0.053849,0.042405,26
ARIMAX,BHARTIARTL.NS,6,0.5217,0.2057,0.3464,0.054718,0.044467,23
VARX,BHARTIARTL.NS,6,0.5217,0.1738,0.4278,0.055976,0.047327,23
ARIMAX,BHARTIARTL.NS,12,0.5294,0.0475,0.8563,0.062193,0.057201,17
VARX,BHARTIARTL.NS,12,0.5294,0.1701,0.514,0.059729,0.053813,17
ARIMAX,APOLLOHOSP.NS,1,0.3571,-0.1887,0.3363,0.081451,0.069708,28
VARX,APOLLOHOSP.NS,1,0.5,-0.1979,0.3128,0.068035,0.055336,28
ARIMAX,APOLLOHOSP.NS,3,0.4231,-0.0076,0.9708,0.07538,0.063549,26
VARX,APOLLOHOSP.NS,3,0.5,-0.197,0.3349,0.065405,0.051124,26
ARIMAX,APOLLOHOSP.NS,6,0.6522,0.1021,0.6431,0.074571,0.055974,23
VARX,APOLLOHOSP.NS,6,0.6522,0.2257,0.3003,0.058745,0.044303,23
ARIMAX,APOLLOHOSP.NS,12,0.4118,-0.2315,0.3712,0.092939,0.077472,17
VARX,APOLLOHOSP.NS,12,0.4118,-0.3531,0.1644,0.074938,0.06635,17
ARIMAX,BIOCON.NS,1,0.5357,0.0375,0.8498,0.099216,0.079649,28
VARX,BIOCON.NS,1,0.4643,-0.2107,0.2818,0.112552,0.087789,28
ARIMAX,BIOCON.NS,3,0.4615,-0.1884,0.3566,0.108778,0.09082,26
VARX,BIOCON.NS,3,0.3846,-0.2049,0.3152,0.098861,0.081911,26
ARIMAX,BIOCON.NS,6,0.5652,0.1053,0.6325,0.100161,0.083723,23
VARX,BIOCON.NS,6,0.5652,0.1129,0.608,0.089465,0.070518,23
ARIMAX,BIOCON.NS,12,0.5294,-0.075,0.7749,0.105924,0.079859,17
VARX,BIOCON.NS,12,0.4118,-0.1429,0.5843,0.099622,0.083852,17
ARIMAX,JSWENERGY.NS,1,0.4643,0.0544,0.7834,0.154951,0.119721,28
VARX,JSWENERGY.NS,1,0.4286,0.0559,0.7775,0.102877,0.082736,28
ARIMAX,JSWENERGY.NS,3,0.4231,-0.1158,0.5731,0.165458,0.132753,26
VARX,JSWENERGY.NS,3,0.3462,-0.085,0.6796,0.107469,0.092265,26
ARIMAX,JSWENERGY.NS,6,0.4783,-0.0814,0.712,0.164395,0.136196,23
VARX,JSWENERGY.NS,6,0.5217,-0.0922,0.6755,0.107318,0.086272,23
ARIMAX,JSWENERGY.NS,12,0.3529,-0.2748,0.2857,0.184119,0.140938,17
VARX,JSWENERGY.NS,12,0.3529,-0.2507,0.3318,0.11287,0.092363,17
ARIMAX,SUDARSCHEM.NS,1,0.1786,-0.5286,0.0038,0.181909,0.157226,28
VARX,SUDARSCHEM.NS,1,0.4643,0.0227,0.9089,0.108534,0.089725,28
ARIMAX,SUDARSCHEM.NS,3,0.3462,-0.1613,0.4312,0.159274,0.132104,26
VARX,SUDARSCHEM.NS,3,0.5769,-0.0039,0.9851,0.105331,0.089193,26
ARIMAX,SUDARSCHEM.NS,6,0.6087,0.3377,0.1151,0.124347,0.110593,23
VARX,SUDARSCHEM.NS,6,0.5217,0.4417,0.0349,0.103986,0.087403,23
ARIMAX,SUDARSCHEM.NS,12,0.2941,-0.0455,0.8622,0.154365,0.128876,17
VARX,SUDARSCHEM.NS,12,0.4706,-0.3593,0.1566,0.119954,0.103027,17
ARIMAX,AEGISLOG.NS,1,0.5,0.0427,0.8293,0.148861,0.101875,28
VARX,AEGISLOG.NS,1,0.5714,-0.0314,0.8738,0.149698,0.103001,28
ARIMAX,AEGISLOG.NS,3,0.4615,0.0387,0.8511,0.125816,0.09081,26
VARX,AEGISLOG.NS,3,0.5,-0.1043,0.6123,0.11645,0.085035,26
ARIMAX,AEGISLOG.NS,6,0.4783,-0.0817,0.7109,0.12801,0.093774,23
VARX,AEGISLOG.NS,6,0.4783,-0.1894,0.3866,0.115919,0.0865,23
ARIMAX,AEGISLOG.NS,12,0.4706,-0.2275,0.3798,0.135412,0.093544,17
VARX,AEGISLOG.NS,12,0.5294,-0.1766,0.4977,0.113637,0.086702,17
ARIMAX,KPRMILL.NS,1,0.3571,0.0235,0.9056,0.095283,0.081808,28
VARX,KPRMILL.NS,1,0.5714,-0.0228,0.9082,0.094224,0.078505,28
ARIMAX,KPRMILL.NS,3,0.3077,-0.0841,0.6828,0.096999,0.085256,26
VARX,KPRMILL.NS,3,0.6154,0.0131,0.9492,0.09174,0.073796,26
ARIMAX,KPRMILL.NS,6,0.3478,0.1922,0.3796,0.090066,0.077174,23
VARX,KPRMILL.NS,6,0.6522,0.3979,0.0601,0.085375,0.068351,23
ARIMAX,KPRMILL.NS,12,0.5294,-0.0211,0.9359,0.10186,0.086017,17
VARX,KPRMILL.NS,12,0.7059,-0.4144,0.0982,0.103825,0.086176,17
ARIMAX,GREENLAM.NS,1,0.5357,-0.1635,0.4057,0.100885,0.075584,28
VARX,GREENLAM.NS,1,0.5,-0.1543,0.433,0.11873,0.09354,28
ARIMAX,GREENLAM.NS,3,0.5385,-0.2777,0.1696,0.098011,0.073504,26
VARX,GREENLAM.NS,3,0.5385,0.0953,0.6434,0.103508,0.08144,26
ARIMAX,GREENLAM.NS,6,0.4348,-0.0797,0.7177,0.099554,0.075187,23
VARX,GREENLAM.NS,6,0.4783,0.0467,0.8325,0.108474,0.087215,23
ARIMAX,GREENLAM.NS,12,0.5294,0.0156,0.9525,0.108253,0.082477,17
VARX,GREENLAM.NS,12,0.5882,0.1624,0.5334,0.109996,0.084179,17
ARIMAX,CAMLINFINE.NS,1,0.5714,0.1797,0.3603,0.194143,0.160961,28
VARX,CAMLINFINE.NS,1,0.5,0.1721,0.3811,0.199641,0.176807,28
ARIMAX,CAMLINFINE.NS,3,0.5769,0.2477,0.2224,0.185746,0.145532,26
VARX,CAMLINFINE.NS,3,0.5,0.0895,0.6637,0.188802,0.149129,26
ARIMAX,CAMLINFINE.NS,6,0.6087,0.3461,0.1058,0.179248,0.144946,23
VARX,CAMLINFINE.NS,6,0.6522,0.3559,0.0955,0.172761,0.129752,23
ARIMAX,CAMLINFINE.NS,12,0.2941,-0.4307,0.0844,0.281021,0.244725,17
VARX,CAMLINFINE.NS,12,0.2941,-0.4325,0.0829,0.265128,0.228524,17
ARIMAX,SURYAROSNI.NS,1,0.5,0.0498,0.8015,0.135635,0.108658,28
VARX,SURYAROSNI.NS,1,0.4643,-0.0392,0.8431,0.147562,0.123434,28
ARIMAX,SURYAROSNI.NS,3,0.5,0.0834,0.6855,0.127673,0.102394,26
VARX,SURYAROSNI.NS,3,0.5769,0.0649,0.7526,0.136724,0.111141,26
ARIMAX,SURYAROSNI.NS,6,0.4783,-0.1893,0.387,0.135018,0.109817,23
VARX,SURYAROSNI.NS,6,0.5652,-0.0972,0.6591,0.150491,0.122547,23
ARIMAX,SURYAROSNI.NS,12,0.4706,0.2599,0.3137,0.139406,0.113342,17
VARX,SURYAROSNI.NS,12,0.5294,-0.0794,0.7619,0.155511,0.127462,17
ARIMAX,EIDPARRY.NS,1,0.5,-0.1087,0.5817,0.106333,0.09027,28
VARX,EIDPARRY.NS,1,0.5714,-0.0452,0.8193,0.128495,0.102974,28
ARIMAX,EIDPARRY.NS,3,0.5,-0.0117,0.9547,0.101416,0.084238,26
